_id,tag,type,origin,description,ungroupedDescription,group1,group1,group3,valueDefault,priority,frozenDetectTimeout,invalidDetectTimeout,historianDeadBand,historianPeriod,supervisedOfCommand,commandOfSupervised,location,isEvent,unit,alarmState,stateTextTrue,stateTextFalse,eventTextTrue,eventTextFalse,formula,parcels,kconv1,kconv2,protocolSourceConnectionNumber,protocolSourceCommonAddress,protocolSourceObjectAddress,protocolSourceASDU,protocolSourceCommandDuration,protocolSourceCommandUseSBO,hiLimit,hihiLimit,hihihiLimit,loLimit,loloLimit,lololoLimit,hysteresis,substituted,alarmDisabled,annotation,commandBlocked,notes,updatesCnt,alarmed,invalid,overflow,transient,frozen,sourceDataUpdate,value,valueString,timeTag,timeTagAlarm,timeTagAtSource,timeTagAtSourceOk
1,"TES_SUP_SINGLE","digital","supervised","TES~Sup~Single","Single","TES","Sup","",1.000000,2,0,300,0.000000,0,0,0,null,false,"",2,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
2,"TES_SUP_DOUBLE","digital","supervised","TES~Sup~Double","Double","TES","Sup","",1.000000,2,0,300,0.000000,0,0,0,null,false,"",2,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,2,31,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
3,"TES_SUP_REG","analog","supervised","TES~Sup~Regulate","Regulate","TES","Sup","",0.000000,1,0,300,0.000000,0,0,0,null,false,"Pos",0,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,3,5,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
4,"TES_SUP_NORM","analog","supervised","TES~Sup~Normalized","Normalized","TES","Sup","",0.000000,1,300,300,0.000000,0,0,0,null,false,"kV",-1,"undefined","undefined","undefined","undefined",0,null,1000.000000,-500.000000,1,27,4,9,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
5,"TES_SUP_SCALED","analog","supervised","TES~Sup~Scaled","Scaled","TES","Sup","",0.000000,1,300,300,0.000000,0,0,0,null,false,"kV",-1,"undefined","undefined","undefined","undefined",0,null,0.100000,0.000000,1,27,5,11,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
6,"TES_SUP_FLOAT","analog","supervised","TES~Sup~Float","Float","TES","Sup","",0.000000,1,300,300,0.000000,0,0,0,null,false,"kV",-1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,6,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
101,"TES_CMD_SINGLE","digital","command","TES~CMD~Single","Single","TES","CMD","",0.000000,1,0,300,0.000000,0,1,0,null,false,"",2,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,101,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
102,"TES_CMD_DOUBLE","digital","command","TES~CMD~Double","Double","TES","CMD","",0.000000,1,0,300,0.000000,0,2,0,null,false,"",2,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,102,46,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
103,"TES_CMD_REG","analog","command","TES~CMD~Regulate","Regulate","TES","CMD","",0.000000,1,0,300,0.000000,0,3,0,null,false,"Down/Up",0,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,103,47,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
104,"TES_CMD_NORM","analog","command","TES~CMD~Normalized","Normalized","TES","CMD","",0.000000,1,300,300,0.000000,0,4,0,null,false,"kV",-1,"undefined","undefined","undefined","undefined",0,null,1000.000000,-500.000000,1,27,104,48,-500,false,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
105,"TES_CMD_SCALED","analog","command","TES~CMD~Scaled","Scaled","TES","CMD","",0.000000,1,300,300,0.000000,0,5,0,null,false,"kV",-1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,105,49,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
106,"TES_CMD_FLOAT","analog","command","TES~CMD~Float","Float","TES","CMD","",0.000000,1,300,300,0.000000,0,6,0,null,false,"kV",-1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,106,50,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
1000,"TES_DNP3_DIG_0","digital","supervised","TES~DNP3~STATUS 0","STATUS 0","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1000,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1001,"TES_DNP3_DIG_1","digital","supervised","TES~DNP3~STATUS 1","STATUS 1","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1001,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1002,"TES_DNP3_DIG_2","digital","supervised","TES~DNP3~STATUS 2","STATUS 2","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1002,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1003,"TES_DNP3_DIG_3","digital","supervised","TES~DNP3~STATUS 3","STATUS 3","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1003,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1004,"TES_DNP3_DIG_4","digital","supervised","TES~DNP3~STATUS 4","STATUS 4","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1004,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1005,"TES_DNP3_DIG_5","digital","supervised","TES~DNP3~STATUS 5","STATUS 5","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1005,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1006,"TES_DNP3_DIG_6","digital","supervised","TES~DNP3~STATUS 6","STATUS 6","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1006,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1007,"TES_DNP3_DIG_7","digital","supervised","TES~DNP3~STATUS 7","STATUS 7","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1007,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1008,"TES_DNP3_DIG_8","digital","supervised","TES~DNP3~STATUS 8","STATUS 8","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1008,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
1009,"TES_DNP3_DIG_9","digital","supervised","TES~DNP3~STATUS 9","STATUS 9","TES","DNP3","",1.000000,1,0,300,0.000000,0,0,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,1009,30,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60000,"TES_DNP3_ANA_0","analog","supervised","TES~DNP3~ANALOG 0","ANALOG 0","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60000,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60001,"TES_DNP3_ANA_1","analog","supervised","TES~DNP3~ANALOG 1","ANALOG 1","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60001,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60002,"TES_DNP3_ANA_2","analog","supervised","TES~DNP3~ANALOG 2","ANALOG 2","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60002,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60003,"TES_DNP3_ANA_3","analog","supervised","TES~DNP3~ANALOG 3","ANALOG 3","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60003,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60004,"TES_DNP3_ANA_4","analog","supervised","TES~DNP3~ANALOG 4","ANALOG 4","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60004,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60005,"TES_DNP3_ANA_5","analog","supervised","TES~DNP3~ANALOG 5","ANALOG 5","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60005,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60006,"TES_DNP3_ANA_6","analog","supervised","TES~DNP3~ANALOG 6","ANALOG 6","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60006,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60007,"TES_DNP3_ANA_7","analog","supervised","TES~DNP3~ANALOG 7","ANALOG 7","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60007,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60008,"TES_DNP3_ANA_8","analog","supervised","TES~DNP3~ANALOG 8","ANALOG 8","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60008,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
60009,"TES_DNP3_ANA_9","analog","supervised","TES~DNP3~ANALOG 9","ANALOG 9","TES","DNP3","",1.000000,1,300,300,0.000000,0,0,0,null,false,"val",1,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,60009,13,null,null,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,1.000000,"1.000000",null,null,null,null
90000,"TES_DNP3_CMD_DIG_0","digital","command","TES~DNP3~CMD STATUS 0","CMD STATUS 0","TES","DNP3","",0.000000,1,0,300,0.000000,0,1000,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90000,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90001,"TES_DNP3_CMD_DIG_1","digital","command","TES~DNP3~CMD STATUS 1","CMD STATUS 1","TES","DNP3","",0.000000,1,0,300,0.000000,0,1002,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90001,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90002,"TES_DNP3_CMD_DIG_2","digital","command","TES~DNP3~CMD STATUS 2","CMD STATUS 2","TES","DNP3","",0.000000,1,0,300,0.000000,0,1003,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90002,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90003,"TES_DNP3_CMD_DIG_3","digital","command","TES~DNP3~CMD STATUS 3","CMD STATUS 3","TES","DNP3","",0.000000,1,0,300,0.000000,0,1001,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90003,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90004,"TES_DNP3_CMD_DIG_4","digital","command","TES~DNP3~CMD STATUS 4","CMD STATUS 4","TES","DNP3","",0.000000,1,0,300,0.000000,0,1004,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90004,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90005,"TES_DNP3_CMD_DIG_5","digital","command","TES~DNP3~CMD STATUS 5","CMD STATUS 5","TES","DNP3","",0.000000,1,0,300,0.000000,0,1005,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90005,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90006,"TES_DNP3_CMD_DIG_6","digital","command","TES~DNP3~CMD STATUS 6","CMD STATUS 6","TES","DNP3","",0.000000,1,0,300,0.000000,0,1006,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90006,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90007,"TES_DNP3_CMD_DIG_7","digital","command","TES~DNP3~CMD STATUS 7","CMD STATUS 7","TES","DNP3","",0.000000,1,0,300,0.000000,0,1007,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90007,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90008,"TES_DNP3_CMD_DIG_8","digital","command","TES~DNP3~CMD STATUS 8","CMD STATUS 8","TES","DNP3","",0.000000,1,0,300,0.000000,0,1008,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90008,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
90009,"TES_DNP3_CMD_DIG_9","digital","command","TES~DNP3~CMD STATUS 9","CMD STATUS 9","TES","DNP3","",0.000000,1,0,300,0.000000,0,1009,0,null,false,"",1,"ON","OFF","ON","OFF",0,null,1.000000,0.000000,1,27,90009,45,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
94000,"TES_DNP3_CMD_ANA_0","analog","command","TES~DNP3~CMD ANALOG 0","CMD ANALOG 0","TES","DNP3","",0.000000,1,300,300,0.000000,0,60000,0,null,false,"val",11,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,94000,50,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
94001,"TES_DNP3_CMD_ANA_1","analog","command","TES~DNP3~CMD ANALOG 1","CMD ANALOG 1","TES","DNP3","",0.000000,1,300,300,0.000000,0,60001,0,null,false,"val",11,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,94001,50,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
94002,"TES_DNP3_CMD_ANA_2","analog","command","TES~DNP3~CMD ANALOG 2","CMD ANALOG 2","TES","DNP3","",0.000000,1,300,300,0.000000,0,60002,0,null,false,"val",11,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,94002,50,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
94003,"TES_DNP3_CMD_ANA_3","analog","command","TES~DNP3~CMD ANALOG 3","CMD ANALOG 3","TES","DNP3","",0.000000,1,300,300,0.000000,0,60003,0,null,false,"val",11,"undefined","undefined","undefined","undefined",0,null,1.000000,0.000000,1,27,94003,50,0,true,0,0,0,0,0,0,0.000000,false,false,"",false,"",0,false,true,false,false,false,null,0.000000,"0.000000",null,null,null,null
