VERSION 3
POINT_NUMB ADDR ID                                   TYP MESSAGE                              ALM   EQ  INF   OR  UN  RTU  ASDU       KCONV1       KCONV2  SUPCMD  DC  PR       INIVAL "SUBEST~BAY~DESCRIPTION"
      1       0 ПС35-OK                                D Нормальний/Тривога                   106   27    0    0   t    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q1H~Сигнал справності"
      2       0 ПС35-FREQ                              A Гц                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q1H~Частота"
  11001       0 ПС35Q1H-U                              A кВ                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q1H~Напруга"
  11002       0 ПС35Q1H-I                              A А                                    102    2    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q1H~Струм"
  11003       0 ПС35Q1H-P                              A МВт                                  103    3    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q1H~АктивнаПотужність "
  11004       0 ПС35Q1H-Q                              A МВар                                 104    4    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q1H~РеактивнаПотужність"
  11005       0 ПС35Q1H-A                              A МВА                                  105    8    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q1H~ПовнаПотужність"
  11006       0 ПС35Q1H-BB                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q1H~ПоложенняВВ"
  11007       0 ПС35Q1H-TK_BB                          D Виведено/Введено                       0   28    0    7   t    0    45       1.0000       0.0000       1   3   2       0.0000 "ПС35~Q1H~ТелекеруванняяВВ"
  11008       0 ПС35Q1H-Avar                           D Тривога/немає                        105   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q1H~АварійнеВимкненняВВ"
  11009       0 ПС35Q1H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q1H~НесправністьВВ"
  11010       0 ПС35Q1H-AnFault                        D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q1H~ТривогаАналоговихВимірів"
  11011       0 ПС35Q1H-3H3                            D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q1H~ПоложенняЗаземлювача"
  13001       0 ПС35Q3H-U                              A кВ                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q3H~Напруга"
  13002       0 ПС35Q3H-I                              A А                                    102    2    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q3H~Струм"
  13003       0 ПС35Q3H-P                              A МВт                                  103    3    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q3H~АктивнаПотужність "
  13004       0 ПС35Q3H-Q                              A МВар                                 104    4    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q3H~РеактивнаПотужність"
  13005       0 ПС35Q3H-A                              A МВА                                  105    8    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q3H~ПовнаПотужність"
  13006       0 ПС35Q3H-BB                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q3H~ПоложенняВВ"
  13007       0 ПС35Q3H-TK_BB                          D Виведено/Введено                       0   28    0    7   t    0    45       1.0000       0.0000       1   3   2       0.0000 "ПС35~Q3H~ТелекеруванняяВВ"
  13008       0 ПС35Q3H-Avar                           D Тривога/немає                        105   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q3H~АварійнеВимкненняВВ"
  13009       0 ПС35Q3H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q3H~НесправністьВВ"
